ppi ppi_error_estimate hr blocker contact contact_supported
1178 30 0 0 1 1
964 30 0 0 1 1
953 30 0 0 1 1
938 30 0 0 1 1
928 30 0 0 1 1
896 30 0 0 1 1
784 30 0 0 1 1
926 30 0 0 1 1
793 28 0 0 1 1
823 24 0 0 1 1
932 21 0 0 1 1
656 20 0 0 1 1
877 20 0 0 1 1
852 19 0 0 1 1
848 17 0 0 1 1
848 16 0 0 1 1
876 14 0 0 1 1
836 13 0 0 1 1
918 11 0 0 1 1
772 11 0 0 1 1
815 10 0 0 1 1
850 10 0 0 1 1
820 9 0 0 1 1
854 9 0 0 1 1
903 9 0 0 1 1
934 10 0 0 1 1
1061 352 0 0 1 1
1570 13 0 0 1 1
1463 26 0 0 1 1
1378 27 0 0 1 1
849 26 0 0 1 1
852 28 0 0 1 1
822 28 0 0 1 1
804 23 0 0 1 1
793 19 0 0 1 1
742 17 0 0 1 1
962 371 0 0 1 1
1209 11 0 0 1 1
1437 12 0 0 1 1
793 380 0 0 1 1
675 498 0 0 1 1
1296 13 0 0 1 1
1288 28 0 0 1 1
712 461 0 0 1 1
1707 534 0 0 1 1
875 495 0 0 1 1
958 412 0 0 1 1
1761 391 0 0 1 1
937 339 0 0 1 1
901 256 0 0 1 1
734 194 0 0 1 1
1025 142 0 0 1 1
901 106 0 0 1 1
942 79 0 0 1 1
909 59 0 0 1 1
1011 52 0 0 1 1
771 42 0 0 1 1
882 35 0 0 1 1
882 29 0 0 1 1
743 25 0 0 1 1
826 23 0 0 1 1
854 21 0 0 1 1
837 17 0 0 1 1
805 15 0 0 1 1
819 13 0 0 1 1
821 12 0 0 1 1
828 11 0 0 1 1
849 11 0 0 1 1
857 10 0 0 1 1
808 10 0 0 1 1
804 10 0 0 1 1
821 9 0 0 1 1
820 9 0 0 1 1
847 8 0 0 1 1
820 8 0 0 1 1
862 8 0 0 1 1
913 8 0 0 1 1
928 8 0 0 1 1
893 8 0 0 1 1
812 8 0 0 1 1
886 8 0 0 1 1
887 8 0 0 1 1
471 421 0 0 1 1
554 10 0 0 1 1
772 14 0 0 1 1
831 583 0 0 1 1
905 509 0 0 1 1
881 534 0 0 1 1
849 566 0 0 1 1
1179 7 0 0 1 1
816 922 0 0 1 1
1767 20 0 0 1 1
1690 634 0 0 1 1
817 25 0 0 1 1
970 44 0 0 1 1
896 45 0 0 1 1
790 34 0 0 1 1
891 25 0 0 1 1
906 20 0 0 1 1
949 17 0 0 1 1
818 15 0 0 1 1
890 14 0 0 1 1
919 14 0 0 1 1
973 13 0 0 1 1
873 13 0 0 1 1
850 13 0 0 1 1
986 12 0 0 1 1
853 473 0 0 1 1
633 693 0 0 1 1
1133 9 0 0 1 1
633 693 0 0 1 1
1131 606 0 0 1 1
441 455 0 0 1 1
560 347 0 0 1 1
713 266 0 0 1 1
841 199 0 0 1 1
