timestamp ch1 ch2 ch3 ambient
644871350309279359 -227468 -215793 -207554 -268746
644871350316667632 -334622 -313968 -304802 -397770
644871350324055905 -391873 -366312 -356615 -466307
644871350331444178 -422380 -394034 -384318 -502771
644871350338832451 -438766 -408732 -399061 -522193
644871350346220724 -447423 -416535 -406811 -532594
644871350353608997 -452029 -420650 -410978 -538101
644871350360997270 -454563 -422709 -413167 -540989
644871350368385543 -455906 -423929 -414344 -542508
644871350375773816 -456544 -424491 -414855 -543373
644871350383162089 -456959 -424813 -415179 -543705
644871350390550362 -457111 -424975 -415343 -544007
644871350397938635 -457142 -424985 -415417 -544100
644871350405326908 -457155 -424971 -415414 -544162
644871350412715181 -457261 -425050 -415452 -544221
644871350420103454 -457196 -425033 -415400 -544155
644871350427491727 -457190 -424973 -415362 -544223
644871350434880000 -457136 -424965 -415408 -544205
644871350442252800 -457024 -424853 -415376 -544235
644871350449641984 -457099 -424804 -415295 -544321
644871350457031168 -457023 -424837 -415195 -544217
644871350464420352 -457141 -424826 -415222 -544271
644871350471809536 -457056 -424801 -415215 -544282
644871350479198720 -456963 -424679 -415160 -544260
644871350486587904 -456957 -424667 -415080 -544310
644871350493977088 -457037 -424638 -415028 -544373
644871350501366272 -456955 -424650 -415070 -544350
644871350508755456 -456956 -424507 -415021 -544343
644871350516144640 -456905 -424467 -414913 -544317
644871350523533824 -456849 -424410 -414838 -544310
644871350530923008 -456786 -424441 -414829 -544283
644871350538312192 -456736 -424378 -414772 -544320
644871350545701376 -456724 -424304 -414748 -544335
644871350553090560 -456653 -424283 -414674 -544337
644871350560479744 -456671 -424186 -414589 -544374
644871350567868928 -456632 -424197 -414583 -544265
644871350575242642 -456774 -424018 -414418 -544356
644871350582632736 -456660 -424087 -414308 -544400
644871350590022830 -456579 -423980 -414354 -544360
644871350597412924 -456535 -424081 -414354 -544297
644871350604803018 -456499 -424089 -414326 -544248
644871350612193112 -456426 -424049 -414374 -544272
644871350619583206 -456536 -424018 -414371 -544233
644871350626973300 -456500 -424098 -414435 -544306
644871350634363394 -456539 -424138 -414483 -544262
644871350641753488 -456527 -424176 -414491 -544325
644871350649143582 -456595 -424193 -414500 -544340
644871350656533676 -456601 -424222 -414575 -544309
644871350663923770 -456674 -424298 -414611 -544315
644871350671313864 -456692 -424362 -414678 -544310
644871350678703958 -456776 -424371 -414758 -544206
644871350686094052 -456746 -424528 -414830 -544283
644871350693484146 -456844 -424483 -414832 -544236
644871350700874240 -456943 -424589 -414863 -544299
644871350708295295 -456936 -424580 -415027 -544375
644871350715683568 -456984 -424655 -415046 -544290
644871350723071841 -456990 -424683 -414987 -544322
644871350730460114 -457006 -424668 -415015 -544263
644871350737848387 -457013 -424762 -415174 -544269
644871350745236660 -457049 -424785 -415126 -544294
644871350752624933 -457016 -424850 -415135 -544230
644871350760013206 -457103 -424864 -415177 -544259
644871350767401479 -457034 -424980 -415199 -544291
644871350774789752 -457113 -424900 -415229 -544320
644871350782178025 -457115 -425025 -415197 -544314
644871350789566298 -457129 -424890 -415214 -544257
644871350796954571 -457162 -424987 -415237 -544288
644871350804342844 -457234 -425037 -415378 -544280
644871350811731117 -457152 -425112 -415332 -544201
644871350819119390 -457252 -425053 -415350 -544293
644871350826507663 -457286 -425053 -415343 -544380
644871350833895936 -457249 -425041 -415427 -544321
