timestamp x y z
644871351281961041 701 -236 700
644871351301702486 702 -235 704
644871351321443931 708 -236 689
644871351341185376 707 -238 694
644871351360926821 701 -234 706
644871351380668266 661 -221 719
644871351400409711 736 -223 718
644871351420151156 724 -241 712
644871351439892601 658 -245 714
644871351459634046 667 -245 688
644871351479375491 696 -234 675
644871351499116936 704 -222 682
644871351518858381 706 -227 705
644871351538599826 707 -236 712
644871351558341271 696 -241 714
644871351578082716 694 -240 713
644871351597824161 705 -233 708
644871351617565606 711 -232 704
644871351637307051 708 -234 704
644871351657048496 705 -236 699
644871351676789941 706 -238 697
644871351696531386 703 -238 688
644871351716272831 707 -235 692
644871351736014276 701 -233 697
644871351755755721 709 -234 695
644871351775497166 701 -235 699
644871351795238611 705 -238 691
644871351814980056 701 -238 698
644871351834721501 707 -235 695
644871351854462946 704 -235 700
644871351874204391 703 -234 700
644871351893945836 704 -235 699
644871351913687281 700 -236 706
644871351933428726 709 -236 700
644871351953170171 703 -237 702
644871351972911616 708 -234 695
644871351992637160 708 -236 697
644871352012379060 698 -235 701
644871352032120960 708 -234 700
644871352051862860 707 -235 700
644871352071604760 704 -233 699
644871352091346660 705 -235 696
644871352111088560 711 -233 693
644871352130830460 707 -235 690
644871352150572360 705 -234 697
644871352170314260 709 -235 702
644871352190056160 705 -235 704
644871352209798060 709 -234 699
644871352229539960 709 -235 697
644871352249281860 708 -233 697
644871352269023760 707 -232 698
644871352288765660 705 -232 700
644871352308507560 702 -234 705
644871352328249460 706 -235 701
644871352347991360 701 -233 699
644871352367733260 710 -232 700
644871352387475160 705 -235 697
644871352407217060 699 -235 698
644871352426958960 706 -235 693
644871352446700860 708 -234 694
644871352466442760 706 -236 697
644871352486184660 704 -235 698
644871352505926560 708 -235 698
644871352525668460 710 -233 699
644871352545410360 706 -235 698
644871352565152260 706 -236 700
644871352584894160 703 -239 700
644871352604636060 703 -238 701
644871352624377960 703 -238 698
644871352644119860 703 -237 696
644871352663861760 700 -236 696
644871352683603660 703 -234 699
644871352703256373 701 -236 694
644871352723000822 703 -237 693
644871352742745271 705 -238 694
644871352762489720 704 -238 692
644871352782234169 706 -236 694
644871352801978618 705 -237 697
644871352821723067 708 -237 696
644871352841467516 704 -238 697
644871352861211965 705 -240 694
644871352880956414 707 -239 698
644871352900700863 707 -238 697
644871352920445312 710 -238 692
644871352940189761 704 -239 696
644871352959934210 703 -240 693
644871352979678659 703 -238 694
644871352999423108 706 -238 692
644871353019167557 706 -237 693
644871353038912006 707 -238 692
644871353058656455 705 -238 693
644871353078400904 704 -239 697
644871353098145353 708 -238 697
644871353117889802 708 -237 698
644871353137634251 705 -238 697
644871353157378700 705 -238 695
644871353177123149 708 -238 694
644871353196867598 709 -236 694
644871353216612047 701 -236 698
644871353236356496 704 -237 699
644871353256100945 707 -239 699
644871353275845394 705 -238 698
644871353295589843 706 -238 695
644871353315334292 704 -237 695
644871353335078741 707 -235 696
644871353354823190 706 -237 696
644871353374567639 701 -238 694
644871353394312088 702 -240 695
644871353414231763 702 -240 694
644871353433971206 708 -238 695
644871353453710649 703 -239 695
644871353473450092 706 -236 696
644871353493189535 705 -238 697
644871353512928978 705 -238 699
644871353532668421 708 -240 697
644871353552407864 704 -241 698
644871353572147307 706 -240 697
644871353591886750 706 -237 696
644871353611626193 704 -236 692
644871353631365636 702 -236 694
644871353651105079 700 -238 693
644871353670844522 704 -238 694
644871353690583965 704 -237 697
644871353710323408 702 -237 696
644871353730062851 708 -238 696
644871353749802294 707 -238 694
644871353769541737 705 -238 696
644871353789281180 708 -237 699
644871353809020623 709 -239 695
644871353828760066 703 -240 694
644871353848499509 710 -238 690
644871353868238952 708 -238 694
644871353887978395 708 -239 698
644871353907717838 713 -241 694
644871353927457281 708 -241 694
644871353947196724 702 -241 685
644871353966936167 699 -239 690
644871353986675610 699 -240 692
644871354006415053 687 -239 699
644871354026154496 689 -239 704
644871354045893939 697 -237 707
644871354065633382 705 -233 704
644871354085372825 708 -235 706
644871354105112268 713 -237 700
644871354124781643 713 -240 695
644871354144523088 712 -239 687
644871354164264533 712 -242 687
644871354184005978 710 -242 687
644871354203747423 703 -243 690
644871354223488868 699 -243 694
644871354243230313 699 -240 695
644871354262971758 701 -239 694
644871354282713203 702 -238 695
644871354302454648 704 -239 701
644871354322196093 705 -239 700
644871354341937538 706 -239 696
644871354361678983 706 -239 697
644871354381420428 708 -239 697
644871354401161873 707 -239 697
644871354420903318 706 -240 699
644871354440644763 704 -241 696
644871354460386208 702 -241 699
644871354480127653 694 -243 703
644871354499869098 691 -241 700
644871354519610543 685 -240 700
644871354539351988 697 -238 696
644871354559093433 711 -234 694
644871354578834878 706 -236 701
644871354598576323 697 -237 704
644871354618317768 694 -236 706
644871354638059213 706 -235 699
644871354657800658 711 -235 692
644871354677542103 714 -236 691
644871354697283548 715 -239 687
644871354717024993 709 -243 690
644871354736766438 705 -244 692
644871354756507883 711 -243 691
644871354776249328 712 -241 689
644871354795990773 711 -242 693
644871354815732218 707 -241 692
644871354835575609 700 -241 695
644871354855314142 699 -241 697
644871354875052675 699 -241 695
644871354894791208 697 -240 697
644871354914529741 701 -241 694
644871354934268274 699 -239 695
644871354954006807 693 -240 696
644871354973745340 686 -239 700
644871354993483873 697 -239 702
644871355013222406 716 -237 687
644871355032960939 713 -233 687
644871355052699472 708 -239 696
644871355072438005 707 -238 701
644871355092176538 692 -238 709
644871355111915071 702 -234 707
644871355131653604 713 -231 701
644871355151392137 711 -237 694
644871355171130670 716 -240 682
644871355190869203 716 -243 680
644871355210607736 715 -245 679
644871355230346269 713 -242 680
644871355250084802 709 -241 687
644871355269823335 705 -241 693
644871355289561868 696 -240 695
644871355309300401 687 -241 697
644871355329038934 697 -235 698
644871355348777467 699 -234 704
644871355368516000 696 -233 707
644871355388254533 695 -234 709
644871355407993066 697 -236 708
644871355427731599 698 -238 707
644871355447470132 705 -237 701
644871355467208665 708 -237 697
644871355486947198 705 -238 695
644871355506685731 700 -238 697
644871355526424264 704 -237 699
644871355546162836 703 -236 696
644871355565901368 702 -237 697
644871355585639900 703 -237 694
644871355605378432 706 -236 697
644871355625116964 705 -238 697
644871355644855496 700 -237 702
644871355664594028 704 -234 702
644871355684332560 701 -235 706
644871355704071092 699 -236 706
644871355723809624 702 -236 703
644871355743548156 702 -235 705
644871355763286688 701 -236 706
644871355783025220 694 -237 708
644871355802763752 696 -236 704
644871355822502284 701 -235 700
644871355842240816 705 -234 700
644871355861979348 698 -235 702
644871355881717880 697 -237 702
644871355901456412 701 -235 703
644871355921194944 699 -234 705
644871355940933476 703 -227 710
644871355960672008 703 -229 710
644871355980410540 698 -230 710
644871356000149072 696 -231 717
644871356019887604 702 -224 718
644871356039626136 695 -226 710
644871356059364668 692 -235 711
644871356079103200 699 -234 711
644871356098841732 704 -232 705
644871356118580264 693 -232 709
644871356138318796 693 -235 716
644871356158057328 689 -234 720
644871356177795860 670 -236 713
644871356197534392 680 -230 714
644871356217272924 699 -240 719
644871356237011456 694 -234 720
644871356256718135 664 -212 724
644871356276457578 661 -214 727
644871356296197021 653 -218 740
644871356315936464 651 -221 748
644871356335675907 651 -229 745
644871356355415350 633 -226 750
644871356375154793 636 -206 764
644871356394894236 640 -190 778
644871356414633679 637 -163 779
644871356434373122 616 -130 787
644871356454112565 585 -115 817
644871356473852008 572 -61 822
644871356493591451 543 19 793
644871356513330894 588 68 778
644871356533070337 670 103 741
644871356552809780 780 85 632
644871356572549223 879 173 489
644871356592288666 981 217 453
644871356612028109 919 133 444
644871356631767552 828 107 471
644871356651506995 796 81 511
644871356671246438 816 52 616
644871356690985881 938 47 895
644871356710725324 1031 -134 773
644871356730464767 667 -196 629
644871356750204210 517 -139 781
644871356769943653 739 10 808
644871356789683096 719 104 743
644871356809422539 590 62 746
644871356829161982 666 71 711
644871356848901425 768 121 677
644871356868640868 759 127 701
644871356888380311 719 126 726
644871356908119754 716 130 731
644871356927859197 721 136 727
644871356947598640 741 161 719
644871356967408196 721 184 731
644871356987145636 649 175 742
644871357006883076 641 203 749
644871357026620516 637 189 750
644871357046357956 668 142 749
644871357066095396 742 129 738
644871357085832836 721 103 791
644871357105570276 636 72 855
644871357125307716 579 72 854
644871357145045156 563 112 842
644871357164782596 621 133 856
644871357184520036 579 109 874
644871357204257476 531 105 874
644871357223994916 559 121 878
644871357243732356 502 130 878
644871357263469796 448 135 931
644871357283207236 449 143 915
644871357302944676 448 147 915
644871357322682116 469 153 870
644871357342419556 484 166 864
644871357362156996 538 185 840
644871357381894436 547 156 831
644871357401631876 600 177 853
644871357421369316 606 151 797
644871357441106756 576 100 848
644871357460844196 515 29 844
644871357480581636 565 14 857
644871357500319076 592 28 873
644871357520056516 570 34 924
644871357539793956 545 34 952
644871357559531396 551 14 948
644871357579268836 527 -20 945
644871357599006276 504 -56 950
644871357618743716 553 -65 931
644871357638481156 546 -76 929
644871357658218596 510 -100 918
644871357677917807 528 -107 874
644871357697656340 562 -110 827
644871357717394873 562 -106 769
644871357737133406 552 -111 729
644871357756871939 543 -125 707
644871357776610472 492 -170 705
644871357796349005 464 -196 678
644871357816087538 471 -198 672
644871357835826071 496 -192 672
644871357855564604 462 -163 646
644871357875303137 433 -130 651
644871357895041670 418 -113 654
644871357914780203 439 -110 648
644871357934518736 501 -112 645
644871357954257269 539 -150 691
644871357973995802 583 -227 760
644871357993734335 639 -304 854
644871358013472868 658 -371 886
644871358033211401 538 -373 927
644871358052949934 447 -283 911
644871358072688467 482 -283 895
644871358092427000 572 -353 904
644871358112165533 580 -387 924
644871358131904066 567 -363 925
644871358151642599 554 -299 881
644871358171381132 572 -264 828
644871358191119665 592 -252 775
644871358210858198 610 -263 766
644871358230596731 598 -269 772
644871358250335264 604 -286 765
644871358270073797 633 -296 750
644871358289812330 652 -291 737
644871358309550863 671 -295 734
644871358329289396 695 -286 729
644871358349027929 709 -264 722
644871358368766462 719 -249 714
644871358388619690 729 -247 714
644871358408354946 727 -243 703
644871358428090202 733 -240 703
644871358447825458 750 -240 680
644871358467560714 784 -252 651
644871358487295970 856 -261 594
644871358507031226 908 -295 550
644871358526766482 838 -296 564
644871358546501738 744 -306 611
644871358566236994 719 -304 635
644871358585972250 718 -298 650
644871358605707506 708 -308 670
644871358625442762 695 -336 682
